uuid,full_name,owner,description,archived,fork,pushed_at,size,stargazers_count,open_issues_count,forks_count,subscribers_count,default_branch,last_synced_at,etag,topics,latest_commit_sha,homepage,language,has_issues,has_wiki,has_pages,mirror_url,source_name,license,status,scm,pull_requests_enabled,icon_url,created_at,updated_at,dependencies_parsed_at,dependency_job_id,html_url,commit_stats,previous_names,tags_count,template,template_full_name,repository_url,tags_url,releases_url,manifests_url,owner_url,download_url,metadata.files.readme,metadata.files.changelog,metadata.files.contributing,metadata.files.funding,metadata.files.license,metadata.files.code_of_conduct,metadata.files.threat_model,metadata.files.audit,metadata.files.citation,metadata.files.codeowners,metadata.files.security,metadata.files.support,metadata.files.governance,metadata.files.roadmap,metadata.files.authors,commit_stats.total_commits,commit_stats.total_committers,commit_stats.mean_commits,commit_stats.dds,commit_stats.last_synced_commit
475111246,CMSgov/ab2d-lambdas,CMSgov,,False,False,2024-01-19T21:57:29.000Z,293,1,1,0,6,main,2024-01-20T08:40:54.822Z,,[],,,Java,True,,,,,,,git,True,https://github.com/CMSgov.png,2022-03-28T17:35:35.000Z,2024-01-20T08:40:54.823Z,2023-02-16T22:15:45.106Z,c9875262-4681-4554-afcb-4b264fb9c96e,https://github.com/CMSgov/ab2d-lambdas,,[],0.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fab2d-lambdas,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fab2d-lambdas/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fab2d-lambdas/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fab2d-lambdas/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/CMSgov,https://codeload.github.com/CMSgov/ab2d-lambdas/tar.gz/refs/heads/main,README.md,,,,,,,audit/README.md,,,,,,,,,,,,
215848922,CMSgov/easi-app,CMSgov,EASi App,False,False,2024-01-19T20:16:06.000Z,39086,20,5,12,17,main,2024-01-20T07:16:44.156Z,,[],,,TypeScript,True,,,,,apache-2.0,,git,True,https://github.com/CMSgov.png,2019-10-17T17:29:28.000Z,2024-01-20T07:16:44.157Z,2024-01-16T21:53:58.954Z,,https://github.com/CMSgov/easi-app,,[],2.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Feasi-app,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Feasi-app/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Feasi-app/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Feasi-app/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/CMSgov,https://codeload.github.com/CMSgov/easi-app/tar.gz/refs/heads/main,README.md,,,,LICENSE,,,,,.github/CODEOWNERS,,,,,,,,,,
623468940,CMSgov/ab2d-bcda-dpc-platform,CMSgov,"Platform team code for supporting AB2D, BCDA, and DPC.",False,False,2024-01-20T06:43:26.000Z,1844,0,3,0,9,main,2024-01-20T06:57:17.801Z,,"['engineering', 'platform']",,,HCL,True,,,,,,,git,True,https://github.com/CMSgov.png,2023-04-04T12:40:46.000Z,2024-01-20T06:57:17.801Z,2023-05-25T23:30:22.495Z,a7ee9f8c-9ad5-46a9-92fb-c8f9e868cd4e,https://github.com/CMSgov/ab2d-bcda-dpc-platform,,[],0.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fab2d-bcda-dpc-platform,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fab2d-bcda-dpc-platform/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fab2d-bcda-dpc-platform/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fab2d-bcda-dpc-platform/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/CMSgov,https://codeload.github.com/CMSgov/ab2d-bcda-dpc-platform/tar.gz/refs/heads/main,README.md,,,,,,,,,.github/CODEOWNERS,,,,,,,,,,
169102492,CMSgov/dpc-app,CMSgov,Data @ the point of care application,False,False,2024-01-19T21:58:03.000Z,62449,40,20,16,21,master,2024-01-20T06:01:21.246Z,,[],,https://dpc.cms.gov/,Java,True,,,,,cc0-1.0,,git,True,https://github.com/CMSgov.png,2019-02-04T15:45:48.000Z,2023-03-20T19:40:42.000Z,2024-01-16T19:02:48.367Z,c1edbaa8-5588-4eee-b505-4c58f47d6171,https://github.com/CMSgov/dpc-app,,[],158.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fdpc-app,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fdpc-app/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fdpc-app/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fdpc-app/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/CMSgov,https://codeload.github.com/CMSgov/dpc-app/tar.gz/refs/heads/master,README.md,,,,LICENSE.md,,,,,,,,,,,,,,,
78230762,CMSgov/qpp-measures-data,CMSgov,QPP Measures Data,False,False,2024-01-19T21:59:19.000Z,35504,84,1,50,73,develop,2024-01-20T04:51:57.060Z,,[],,,JavaScript,True,,,,,,,git,True,https://github.com/CMSgov.png,2017-01-06T18:57:02.000Z,2023-12-16T10:39:40.000Z,2023-12-13T19:10:37.848Z,c48e832d-dc1e-45ca-aaad-d7859bfed227,https://github.com/CMSgov/qpp-measures-data,,[],199.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fqpp-measures-data,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fqpp-measures-data/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fqpp-measures-data/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fqpp-measures-data/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/CMSgov,https://codeload.github.com/CMSgov/qpp-measures-data/tar.gz/refs/heads/develop,README.md,,CONTRIBUTING.md,,,,,,,CODEOWNERS,,,,,,825.0,80.0,10.3125,0.88,b33e6744ea562863f958dd2a5be572eeb4bdb3c8
108745992,CMSgov/bluebutton-site-static,CMSgov,CMS Blue Button API website and developer docs,False,False,2024-01-19T21:45:08.000Z,115844,8,3,12,19,master,2024-01-19T22:54:55.103Z,,[],,https://bluebutton.cms.gov,HTML,True,,,,,,,git,True,https://github.com/CMSgov.png,2017-10-29T15:24:45.000Z,2023-12-07T17:01:23.000Z,2023-10-30T20:29:24.102Z,8abef74a-b7fc-437c-884e-83571f02fa6c,https://github.com/CMSgov/bluebutton-site-static,,[],12.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fbluebutton-site-static,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fbluebutton-site-static/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fbluebutton-site-static/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fbluebutton-site-static/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/CMSgov,https://codeload.github.com/CMSgov/bluebutton-site-static/tar.gz/refs/heads/master,README.md,,,,,,,,,,,,,,,,,,,
81481099,CMSgov/qpp-submissions-docs,CMSgov,Developer documentation for building against the QPP Submissions API,False,False,2024-01-19T16:41:27.000Z,9565,8,0,8,45,master,2024-01-19T17:49:03.544Z,,[],,https://cmsgov.github.io/qpp-submissions-docs,TypeScript,True,,,,,cc0-1.0,,git,True,https://github.com/CMSgov.png,2017-02-09T18:24:34.000Z,2023-10-11T16:10:06.000Z,2023-02-10T15:45:42.247Z,d7a68f62-a093-4d2d-9a7f-755967944d99,https://github.com/CMSgov/qpp-submissions-docs,,[],11.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fqpp-submissions-docs,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fqpp-submissions-docs/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fqpp-submissions-docs/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fqpp-submissions-docs/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/CMSgov,https://codeload.github.com/CMSgov/qpp-submissions-docs/tar.gz/refs/heads/master,README.md,,.github/CONTRIBUTING.md,,LICENSE,,,,,.github/CODEOWNERS,,.github/SUPPORT.md,,,,,,,,
210904925,CMSgov/ab2d,CMSgov,Claims Data to Part D Sponsors API,False,False,2024-01-18T15:40:31.000Z,10853,6,4,2,15,master,2024-01-19T03:37:06.763Z,,[],,https://ab2d.cms.gov/,Java,True,,,,,cc0-1.0,,git,True,https://github.com/CMSgov.png,2019-09-25T17:41:43.000Z,2024-01-19T03:37:06.764Z,2023-10-02T21:12:12.167Z,4cb5540d-bf0c-419c-8b23-9320b6edb755,https://github.com/CMSgov/ab2d,,[],2.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fab2d,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fab2d/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fab2d/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fab2d/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/CMSgov,https://codeload.github.com/CMSgov/ab2d/tar.gz/refs/heads/master,README.md,,,,LICENSE,,,,,.github/CODEOWNERS,,,,,,,,,,
409338174,CMSgov/bluebutton-sample-client-nodejs-react,CMSgov,,False,False,2024-01-17T22:17:10.000Z,2616,0,13,0,14,master,2024-01-18T08:58:09.487Z,,[],,,TypeScript,True,,,,,cc0-1.0,,git,True,https://github.com/CMSgov.png,2021-09-22T19:55:37.000Z,2024-01-18T08:58:09.488Z,2023-02-08T10:46:05.397Z,2cbc0fea-90be-47d0-a009-c696412e3a7e,https://github.com/CMSgov/bluebutton-sample-client-nodejs-react,,[],0.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fbluebutton-sample-client-nodejs-react,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fbluebutton-sample-client-nodejs-react/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fbluebutton-sample-client-nodejs-react/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fbluebutton-sample-client-nodejs-react/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/CMSgov,https://codeload.github.com/CMSgov/bluebutton-sample-client-nodejs-react/tar.gz/refs/heads/master,README-bb2-dev.md,,,,LICENSE,,,,,,,,,,,,,,,
633453761,CMSgov/hpt-tool,CMSgov,Validator tool for CMS Hospital Price Transparency machine-readable files,False,False,2024-01-17T16:04:36.000Z,272,8,1,3,7,main,2024-01-18T08:46:44.431Z,,[],,https://cmsgov.github.io/hpt-tool/,JavaScript,True,,,,,other,,git,True,https://github.com/CMSgov.png,2023-04-27T14:28:36.000Z,2024-01-17T19:47:49.000Z,2024-01-17T00:01:58.309Z,,https://github.com/CMSgov/hpt-tool,,"['cmsgov/hpt-validator-tool', 'cmsgov/hpt-tool']",0.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fhpt-tool,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fhpt-tool/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fhpt-tool/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/CMSgov%2Fhpt-tool/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/CMSgov,https://codeload.github.com/CMSgov/hpt-tool/tar.gz/refs/heads/main,README.md,,CONTRIBUTING.md,,LICENSE.md,,,,,,SECURITY.md,,,,,,,,,
