uuid,full_name,owner,description,archived,fork,pushed_at,size,stargazers_count,open_issues_count,forks_count,subscribers_count,default_branch,last_synced_at,etag,topics,latest_commit_sha,homepage,language,has_issues,has_wiki,has_pages,mirror_url,source_name,license,status,scm,pull_requests_enabled,icon_url,created_at,updated_at,dependencies_parsed_at,dependency_job_id,html_url,previous_names,tags_count,template,template_full_name,repository_url,tags_url,releases_url,manifests_url,owner_url,download_url,metadata.files.readme,metadata.files.changelog,metadata.files.contributing,metadata.files.funding,metadata.files.license,metadata.files.code_of_conduct,metadata.files.threat_model,metadata.files.audit,metadata.files.citation,metadata.files.codeowners,metadata.files.security,metadata.files.support,metadata.files.governance,commit_stats.total_commits,commit_stats.total_committers,commit_stats.mean_commits,commit_stats.dds,commit_stats.last_synced_commit,metadata.files.roadmap,metadata.files.authors,metadata.funding.github,metadata.funding.open_collective,commit_stats,metadata.funding.patreon,metadata.funding.ko_fi,metadata.funding.tidelift,metadata.funding.community_bridge,metadata.funding.liberapay,metadata.funding.issuehunt,metadata.funding.otechie,metadata.funding.custom
6498492,airbnb/javascript,airbnb,JavaScript Style Guide,False,False,2024-01-20T04:44:01.000Z,3619,140045,164,26591,3801,master,2024-01-21T00:58:54.550Z,,"['arrow-functions', 'es2015', 'es2016', 'es2017', 'es2018', 'es6', 'eslint', 'javascript', 'linting', 'naming-conventions', 'style-guide', 'style-linter', 'styleguide', 'tc39']",,,JavaScript,True,,,,,mit,,git,True,https://github.com/airbnb.png,2012-11-01T23:13:50.000Z,2024-01-20T21:41:56.000Z,2023-09-24T15:25:51.306Z,,https://github.com/airbnb/javascript,[],102,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fjavascript,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fjavascript/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fjavascript/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fjavascript/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/airbnb,https://codeload.github.com/airbnb/javascript/tar.gz/refs/heads/master,README.md,,,,LICENSE.md,,,,,,,,,1652.0,547.0,3.020109689213894,0.6464891041162227,11ab37144b7f846f04f64a29b5beb6e00d74e84b,,,,,,,,,,,,,
70198875,airbnb/lottie-android,airbnb,"Render After Effects animations natively on Android and iOS, Web, and React Native",False,False,2023-12-30T01:54:19.000Z,136439,34468,16,5425,850,master,2024-01-20T21:50:29.309Z,,"['after-effects', 'airbnb', 'android', 'animation', 'lottie']",,http://airbnb.io/lottie/,Java,True,,,,,apache-2.0,,git,True,https://github.com/airbnb.png,2016-10-06T22:42:42.000Z,2024-01-20T13:11:41.000Z,2023-12-29T06:35:20.019Z,,https://github.com/airbnb/lottie-android,[],115,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Flottie-android,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Flottie-android/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Flottie-android/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Flottie-android/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/airbnb,https://codeload.github.com/airbnb/lottie-android/tar.gz/refs/heads/master,README.md,CHANGELOG.md,,.github/FUNDING.yml,LICENSE,CODE_OF_CONDUCT.md,,,,,,,,1533.0,143.0,10.72027972027972,0.5290280495759948,4c805889968bfa2eba6c87cd99a093aa5261beb3,,,gpeal,lottie,,,,,,,,,
132035351,airbnb/react-outside-click-handler,airbnb,OutsideClickHandler component for React.,False,False,2023-03-20T14:25:48.000Z,269,600,13,68,24,master,2024-01-20T20:44:19.797Z,,[],,,JavaScript,True,,,,,mit,,git,True,https://github.com/airbnb.png,2018-05-03T18:34:53.000Z,2024-01-11T15:05:57.000Z,2022-09-26T17:21:15.039Z,,https://github.com/airbnb/react-outside-click-handler,[],11,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Freact-outside-click-handler,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Freact-outside-click-handler/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Freact-outside-click-handler/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Freact-outside-click-handler/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/airbnb,https://codeload.github.com/airbnb/react-outside-click-handler/tar.gz/refs/heads/master,README.md,CHANGELOG.md,,,LICENSE,,,,,,,,,40.0,10.0,4.0,0.35,960fec72e0337401b55e0af16ab6a371c77566a6,,,,,,,,,,,,,
54623071,airbnb/js-shims,airbnb,JS language shims used by Airbnb.,False,False,2023-03-04T01:47:45.000Z,84,124,0,26,23,master,2024-01-20T18:27:42.990Z,,[],,,JavaScript,True,,,,,mit,,git,True,https://github.com/airbnb.png,2016-03-24T07:29:34.000Z,2023-11-13T09:19:08.000Z,2022-08-29T00:11:07.804Z,,https://github.com/airbnb/js-shims,[],19,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fjs-shims,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fjs-shims/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fjs-shims/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fjs-shims/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/airbnb,https://codeload.github.com/airbnb/js-shims/tar.gz/refs/heads/master,README.md,CHANGELOG.md,,,LICENSE,,,,,,,,,78.0,4.0,19.5,0.14102564102564108,339192174a67f323bb92cde5e99e098bf87860bf,,,,,,,,,,,,,
85095608,airbnb/visx,airbnb,🐯 visx | visualization components,False,False,2024-01-19T17:53:04.000Z,15186,18251,145,730,140,master,2024-01-20T17:57:01.229Z,,"['chart', 'd3', 'data-visualization', 'react', 'svg', 'visualization', 'visx', 'vx']",,https://airbnb.io/visx,TypeScript,True,,,,,mit,,git,True,https://github.com/airbnb.png,2017-03-15T16:25:41.000Z,2024-01-20T15:13:05.000Z,2024-01-13T03:34:44.988Z,161a1c90-d798-4f32-a927-160a0a811084,https://github.com/airbnb/visx,['hshoff/vx'],283,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fvisx,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fvisx/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fvisx/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fvisx/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/airbnb,https://codeload.github.com/airbnb/visx/tar.gz/refs/heads/master,README.md,CHANGELOG.md,CONTRIBUTING.md,,LICENSE,CODE_OF_CONDUCT.md,,,,,,,,2723.0,163.0,16.70552147239264,0.821520381931693,6a1417752737ffc1f6dd0d66092e54b8904c3d4f,,,,,,,,,,,,,
31085130,airbnb/lottie-web,airbnb,"Render After Effects animations natively on Web, Android and iOS, and React Native. http://airbnb.io/lottie/",False,False,2023-12-18T09:23:20.000Z,411092,29359,744,2889,449,master,2024-01-20T17:09:23.512Z,,[],,,JavaScript,True,,,,,mit,,git,True,https://github.com/airbnb.png,2015-02-20T21:02:59.000Z,2024-01-19T20:25:32.000Z,2022-07-12T16:09:12.859Z,91c1f8f4-3ace-4eae-afe7-a71e3e6b7491,https://github.com/airbnb/lottie-web,['bodymovin/bodymovin'],177,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Flottie-web,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Flottie-web/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Flottie-web/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Flottie-web/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/airbnb,https://codeload.github.com/airbnb/lottie-web/tar.gz/refs/heads/master,README.md,CHANGELOG.md,,.github/FUNDING.yml,LICENSE.md,,,,,,,,,2050.0,105.0,19.523809523809526,0.2165853658536585,63a39aeb27b8c13726ce9fcf850d9351b14be3e6,,,,lottie,,,,,,,,,
70198664,airbnb/lottie-ios,airbnb,An iOS library to natively render After Effects vector animations,False,False,2024-01-20T02:19:36.000Z,219459,24713,11,3670,467,master,2024-01-20T13:13:39.287Z,,"['animation', 'bodymovin', 'custom-transitions', 'ios', 'ios-animation', 'ios-transition', 'keyframes', 'swift', 'transition-animation']",,http://airbnb.io/lottie/,Swift,True,,,,,apache-2.0,,git,True,https://github.com/airbnb.png,2016-10-06T22:38:38.000Z,2024-01-20T05:39:59.000Z,2024-01-12T03:01:33.639Z,,https://github.com/airbnb/lottie-ios,[],67,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Flottie-ios,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Flottie-ios/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Flottie-ios/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Flottie-ios/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/airbnb,https://codeload.github.com/airbnb/lottie-ios/tar.gz/refs/heads/master,README.md,,,.github/FUNDING.yml,LICENSE,,,,,,,,,911.0,241.0,3.780082987551867,0.8013172338090011,f081afab0e4da9c0ae54e1db1c0f30b603f3eb03,,,,lottie,,,,,,,,,
226207937,airbnb/ts-migrate,airbnb,A tool to help migrate JavaScript code quickly and conveniently to TypeScript,False,False,2023-10-21T22:46:58.000Z,1288,5255,46,217,45,master,2024-01-20T11:57:39.692Z,,"['codemod', 'javascript', 'migration', 'typescript']",,,TypeScript,True,,,,,mit,,git,True,https://github.com/airbnb.png,2019-12-05T23:36:40.000Z,2024-01-20T08:01:45.000Z,2024-01-12T06:26:23.393Z,,https://github.com/airbnb/ts-migrate,[],36,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fts-migrate,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fts-migrate/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fts-migrate/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fts-migrate/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/airbnb,https://codeload.github.com/airbnb/ts-migrate/tar.gz/refs/heads/master,README.md,,CONTRIBUTING.md,,,,,,,,,,,189.0,34.0,5.5588235294117645,0.7037037037037037,f656addb5d6b60887f6b4033cdd81a6ff5e851cb,,,,,,,,,,,,,
72034231,airbnb/babel-plugin-dynamic-import-node,airbnb,"Babel plugin to transpile import() to a deferred require(), for node",False,False,2023-03-04T01:43:36.000Z,113,573,7,66,35,master,2024-01-20T11:29:58.342Z,,[],,,JavaScript,True,,,,,mit,,git,True,https://github.com/airbnb.png,2016-10-26T18:50:00.000Z,2023-12-27T02:20:30.000Z,2023-09-27T20:38:55.256Z,,https://github.com/airbnb/babel-plugin-dynamic-import-node,[],12,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fbabel-plugin-dynamic-import-node,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fbabel-plugin-dynamic-import-node/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fbabel-plugin-dynamic-import-node/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Fbabel-plugin-dynamic-import-node/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/airbnb,https://codeload.github.com/airbnb/babel-plugin-dynamic-import-node/tar.gz/refs/heads/master,README.md,CHANGELOG.md,,,LICENSE,,,,,,,,,77.0,14.0,5.5,0.3246753246753247,a68388870de822183218515a1adbb3e8d7fa9486,,,,,,,,,,,,,
94948855,airbnb/lottie,airbnb,Lottie documentation for http://airbnb.io/lottie.,False,False,2024-01-18T22:42:14.000Z,85252,4263,36,320,65,master,2024-01-20T08:28:45.215Z,,[],,,HTML,False,,,,,mit,,git,True,https://github.com/airbnb.png,2017-06-21T01:10:05.000Z,2024-01-19T09:26:01.000Z,2023-02-16T10:30:52.248Z,909ecbb8-baf2-4990-9a23-7af8ca620bed,https://github.com/airbnb/lottie,[],0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Flottie,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Flottie/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Flottie/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/airbnb%2Flottie/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/airbnb,https://codeload.github.com/airbnb/lottie/tar.gz/refs/heads/master,README.md,,,.github/FUNDING.yml,LICENSE,,,,,,,,,244.0,80.0,3.05,0.709016393442623,342dc4ccc680d2b70ff82788690395695356cb20,,,,lottie,,,,,,,,,
