uuid,full_name,owner,description,archived,fork,pushed_at,size,stargazers_count,open_issues_count,forks_count,subscribers_count,default_branch,last_synced_at,etag,topics,latest_commit_sha,homepage,language,has_issues,has_wiki,has_pages,mirror_url,source_name,license,status,scm,pull_requests_enabled,icon_url,created_at,updated_at,dependencies_parsed_at,dependency_job_id,html_url,previous_names,tags_count,template,template_full_name,repository_url,tags_url,releases_url,manifests_url,owner_url,download_url,metadata.files.readme,metadata.files.changelog,metadata.files.contributing,metadata.files.funding,metadata.files.license,metadata.files.code_of_conduct,metadata.files.threat_model,metadata.files.audit,metadata.files.citation,metadata.files.codeowners,metadata.files.security,metadata.files.support,metadata.files.governance,metadata.files.roadmap,metadata.files.authors,commit_stats.total_commits,commit_stats.total_committers,commit_stats.mean_commits,commit_stats.dds,commit_stats.last_synced_commit,commit_stats,metadata.funding.custom,metadata.funding.github
580121899,home-assistant/hassil,home-assistant,Intent parsing for Home Assistant,False,False,2024-01-19T21:36:20.000Z,257,66,12,10,25,main,2024-01-20T21:59:42.921Z,,[],,,Python,True,,,,,apache-2.0,,git,True,https://github.com/home-assistant.png,2022-12-19T19:20:08.000Z,2024-01-09T04:38:04.000Z,2022-12-26T19:54:46.635Z,8e1ac991-ad2b-40b6-8cea-08bf324a20ab,https://github.com/home-assistant/hassil,[],28.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fhassil,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fhassil/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fhassil/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fhassil/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/home-assistant,https://codeload.github.com/home-assistant/hassil/tar.gz/refs/heads/main,README.md,CHANGELOG.md,,,LICENSE.md,,,,,CODEOWNERS,,,,,,160.0,7.0,22.857142857142858,0.25,95130d1295ff0cadd816b6a5191a2b23d00494cb,,,
38982731,home-assistant/frontend,home-assistant,:lollipop: Frontend for Home Assistant,False,False,2024-01-20T16:32:30.000Z,120372,3509,413,2395,129,dev,2024-01-20T21:11:48.258Z,,"['frontend', 'hacktoberfest', 'home-assistant', 'home-automation', 'lit-element', 'polymer', 'webcomponents']",,https://demo.home-assistant.io,TypeScript,True,,,,,other,,git,True,https://github.com/home-assistant.png,2015-07-12T23:58:06.000Z,2024-01-20T20:25:46.000Z,2023-10-21T11:43:44.698Z,8dc53ae8-a444-44a8-8c97-816b2c32438c,https://github.com/home-assistant/frontend,['home-assistant/home-assistant-polymer'],588.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Ffrontend,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Ffrontend/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Ffrontend/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Ffrontend/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/home-assistant,https://codeload.github.com/home-assistant/frontend/tar.gz/refs/heads/dev,README.md,,,,LICENSE.md,CODE_OF_CONDUCT.md,,,,,,,,,,9975.0,504.0,19.791666666666668,0.7991979949874687,1c9e3915e8f4975ad2e169ac8c5c9b5a76037753,,,
60936689,home-assistant/Iconic,home-assistant,":art: Auto-generated icon font library for iOS, watchOS and tvOS",True,False,2022-06-23T16:06:03.000Z,27808,1578,0,89,20,master,2024-01-20T19:39:29.705Z,,"['code-generator', 'icon-font', 'interface-builder', 'ios', 'swift', 'tvos', 'watchos']",,,Swift,True,,,,,apache-2.0,,git,True,https://github.com/home-assistant.png,2016-06-12T02:03:36.000Z,2024-01-04T16:05:23.000Z,2022-08-10T00:52:22.701Z,,https://github.com/home-assistant/Iconic,[],15.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2FIconic,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2FIconic/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2FIconic/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2FIconic/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/home-assistant,https://codeload.github.com/home-assistant/Iconic/tar.gz/refs/heads/master,README.md,,CONTRIBUTING.md,,LICENSE.md,CODE_OF_CONDUCT.md,,,,,,,,,,,,,,,,,
28312955,home-assistant/home-assistant.io,home-assistant,:blue_book: Home Assistant User documentation,False,False,2024-01-20T18:59:24.000Z,557754,4213,553,6869,156,current,2024-01-20T19:14:24.063Z,,"['documentation', 'hacktoberfest', 'hass', 'hassio', 'home-assistant', 'jekyll']",,https://www.home-assistant.io,HTML,True,,,,,other,,git,True,https://github.com/home-assistant.png,2014-12-21T20:59:21.000Z,2024-01-20T14:55:37.000Z,2024-01-17T13:39:52.242Z,,https://github.com/home-assistant/home-assistant.io,[],0.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fhome-assistant.io,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fhome-assistant.io/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fhome-assistant.io/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fhome-assistant.io/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/home-assistant,https://codeload.github.com/home-assistant/home-assistant.io/tar.gz/refs/heads/current,README.md,,,,LICENSE.md,CODE_OF_CONDUCT.md,,,,CODEOWNERS,,,,,,27514.0,4891.0,5.625434471478226,0.9176055826124881,1a874b00dbc4996e9bc2a59bb207e8375f60b465,,,
174506605,home-assistant/version,home-assistant,Home Assistant versions data,False,False,2024-01-20T03:56:55.000Z,1823,45,0,24,15,master,2024-01-20T18:00:08.602Z,,[],,,Shell,False,,,,,,,git,True,https://github.com/home-assistant.png,2019-03-08T09:19:55.000Z,2024-01-20T18:00:08.602Z,2023-09-24T20:00:04.484Z,bba73092-72c6-4e2b-938a-3d98b16df345,https://github.com/home-assistant/version,[],0.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fversion,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fversion/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fversion/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fversion/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/home-assistant,https://codeload.github.com/home-assistant/version/tar.gz/refs/heads/master,README.md,,,,,,,,,,,,,,,,,,,,,,
130742303,home-assistant/developers.home-assistant,home-assistant,Developers website for Home Assistant.,False,False,2024-01-20T13:05:39.000Z,12214,253,69,819,37,master,2024-01-20T15:03:52.582Z,,"['developers', 'hacktoberfest', 'hass', 'hassio', 'home-assistant', 'iot']",,https://developers.home-assistant.io,JavaScript,True,,,,,other,,git,True,https://github.com/home-assistant.png,2018-04-23T18:53:01.000Z,2024-01-20T02:09:01.000Z,2023-02-19T09:46:34.857Z,b670494f-e8e3-49c5-bb06-c2dcfc3fb3d5,https://github.com/home-assistant/developers.home-assistant,[],0.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fdevelopers.home-assistant,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fdevelopers.home-assistant/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fdevelopers.home-assistant/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fdevelopers.home-assistant/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/home-assistant,https://codeload.github.com/home-assistant/developers.home-assistant/tar.gz/refs/heads/master,README.md,,,,LICENSE.md,,,,,,,,,,,,,,,,,,
576483053,home-assistant/intents,home-assistant,Intents to be used with Home Assistant,False,False,2024-01-20T07:37:26.000Z,5050,393,117,455,34,main,2024-01-20T12:46:41.342Z,,['hacktoberfest'],,https://developers.home-assistant.io/docs/voice/overview/,Python,True,,,,,cc-by-4.0,,git,True,https://github.com/home-assistant.png,2022-12-10T01:34:19.000Z,2024-01-20T06:12:52.000Z,2024-01-17T08:04:20.024Z,,https://github.com/home-assistant/intents,[],22.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fintents,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fintents/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fintents/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fintents/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/home-assistant,https://codeload.github.com/home-assistant/intents/tar.gz/refs/heads/main,README.md,,CONTRIBUTING.md,,LICENSE.md,,,,,CODEOWNERS,,,,,,896.0,162.0,5.530864197530864,0.8147321428571428,7b683c6b9d44215bc06873f6b3a7e833df634c6c,,,
85435841,home-assistant/addons,home-assistant,:heavy_plus_sign: Docker add-ons for Home Assistant,False,False,2024-01-20T00:41:44.000Z,86647,1370,51,1363,67,master,2024-01-20T09:56:55.222Z,,"['automation', 'docker', 'hacktoberfest', 'home', 'iot']",,https://home-assistant.io/hassio/,Shell,True,,,,,apache-2.0,,git,True,https://github.com/home-assistant.png,2017-03-18T22:23:14.000Z,2024-01-20T03:47:45.000Z,2023-10-10T19:38:51.159Z,204d4735-0f9b-43ef-b348-00d5a8bc1017,https://github.com/home-assistant/addons,[],0.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Faddons,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Faddons/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Faddons/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Faddons/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/home-assistant,https://codeload.github.com/home-assistant/addons/tar.gz/refs/heads/master,README.md,,,,LICENSE,,,,,,,,,,,,,,,,,,
12888993,home-assistant/core,home-assistant,:house_with_garden: Open source home automation that puts local control and privacy first.,False,False,2024-01-20T04:08:13.000Z,580278,66033,2889,26780,1347,dev,2024-01-20T04:36:11.984Z,,"['asyncio', 'hacktoberfest', 'home-automation', 'internet-of-things', 'iot', 'mqtt', 'python', 'raspberry-pi']",,https://www.home-assistant.io,Python,True,,,,,apache-2.0,,git,True,https://github.com/home-assistant.png,2013-09-17T07:29:48.000Z,2024-01-20T19:41:18.891Z,2023-09-25T13:46:19.103Z,749cc3f6-f145-45d3-a992-6c64d9e9fe58,https://github.com/home-assistant/core,['home-assistant/home-assistant'],1208.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fcore,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fcore/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fcore/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fcore/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/home-assistant,https://codeload.github.com/home-assistant/core/tar.gz/refs/heads/dev,README.rst,,CONTRIBUTING.md,.github/FUNDING.yml,LICENSE.md,CODE_OF_CONDUCT.md,,,,CODEOWNERS,,,,,,66067.0,3833.0,17.23636837985912,0.9199751767145473,27ac2ceae3249871021a5666831fb65225b44a34,,https://www.nabucasa.com,balloob
245218045,home-assistant/brands,home-assistant,🎨 Brands for Home Assistant,False,False,2024-01-19T16:39:05.000Z,451580,197,84,1438,19,master,2024-01-20T01:59:05.998Z,,['hacktoberfest'],,,Shell,True,,,,,,,git,True,https://github.com/home-assistant.png,2020-03-05T16:49:10.000Z,2024-01-20T00:01:18.000Z,2024-01-15T09:52:00.897Z,,https://github.com/home-assistant/brands,[],0.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fbrands,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fbrands/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fbrands/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/home-assistant%2Fbrands/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/home-assistant,https://codeload.github.com/home-assistant/brands/tar.gz/refs/heads/master,README.md,,,,,,,,,,,,,,,,,,,,,,
