uuid,full_name,owner,description,archived,fork,pushed_at,size,stargazers_count,open_issues_count,forks_count,subscribers_count,default_branch,last_synced_at,etag,topics,latest_commit_sha,homepage,language,has_issues,has_wiki,has_pages,mirror_url,source_name,license,status,scm,pull_requests_enabled,icon_url,created_at,updated_at,dependencies_parsed_at,dependency_job_id,html_url,commit_stats,previous_names,tags_count,template,template_full_name,repository_url,tags_url,releases_url,manifests_url,owner_url,download_url,metadata.files.readme,metadata.files.changelog,metadata.files.contributing,metadata.files.funding,metadata.files.license,metadata.files.code_of_conduct,metadata.files.threat_model,metadata.files.audit,metadata.files.citation,metadata.files.codeowners,metadata.files.security,metadata.files.support,metadata.files.governance
745888131,houstondatavis/data-jam-january-2024,houstondatavis,,False,False,2024-01-20T14:15:32.000Z,3045,0,0,0,3,main,2024-01-20T14:28:32.477Z,,[],,,JavaScript,True,,,,,,,git,True,https://github.com/houstondatavis.png,2024-01-20T13:02:25.000Z,2024-01-20T13:06:54.000Z,,,https://github.com/houstondatavis/data-jam-january-2024,,['houstondatavis/data-jam-january-2024'],,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-january-2024,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-january-2024/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-january-2024/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-january-2024/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/houstondatavis,https://codeload.github.com/houstondatavis/data-jam-january-2024/tar.gz/refs/heads/main,,,,,,,,,,,,,
704925614,houstondatavis/data-jam-october-2023,houstondatavis,,False,False,2023-11-11T17:01:09.000Z,636,0,0,1,4,main,2023-11-12T16:27:30.079Z,,[],,,,True,,,,,,,git,True,https://github.com/houstondatavis.png,2023-10-14T14:23:44.000Z,2023-11-12T16:27:30.080Z,,,https://github.com/houstondatavis/data-jam-october-2023,,['houstondatavis/data-jam-october-2023'],0.0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-october-2023,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-october-2023/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-october-2023/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-october-2023/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/houstondatavis,https://codeload.github.com/houstondatavis/data-jam-october-2023/tar.gz/refs/heads/main,,,,,,,,,,,,,
677463116,houstondatavis/data-jam-august-2023,houstondatavis,,False,False,2023-08-22T17:48:42.000Z,71749,0,0,1,4,main,2023-08-22T21:39:22.050Z,,[],,,,True,,,,,,,git,True,https://github.com/houstondatavis.png,2023-08-11T16:26:09.000Z,2023-08-11T16:26:09.000Z,,d2c9fee7-1e52-4e94-9cb7-07cb9577088b,https://github.com/houstondatavis/data-jam-august-2023,,['houstondatavis/data-jam-august-2023'],0.0,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-august-2023,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-august-2023/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-august-2023/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fdata-jam-august-2023/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/houstondatavis,https://codeload.github.com/houstondatavis/data-jam-august-2023/tar.gz/refs/heads/main,README.md,,,,,,,,,,,,
64615505,houstondatavis/slack-export,houstondatavis,conversation and user data exported from houstondatavis.slack.com,False,False,2016-07-31T21:23:23.000Z,181,3,0,1,3,master,2023-03-02T07:17:06.049Z,,[],,,,True,,,,,,,git,True,https://github.com/houstondatavis.png,2016-07-31T21:16:02.000Z,2019-03-26T11:27:51.000Z,2023-03-10T07:00:26.674Z,,https://github.com/houstondatavis/slack-export,,[],,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fslack-export,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fslack-export/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fslack-export/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fslack-export/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/houstondatavis,https://codeload.github.com/houstondatavis/slack-export/tar.gz/refs/heads/master,,,,,,,,,,,,,
146100698,houstondatavis/russian-troll-tweets,houstondatavis,,False,True,2018-08-26T18:54:26.000Z,229246,0,0,3,6,master,2023-03-02T07:17:05.774Z,,[],,,Jupyter Notebook,False,,,,fivethirtyeight/russian-troll-tweets,,,git,True,https://github.com/houstondatavis.png,2018-08-25T14:10:43.000Z,2018-08-26T18:54:26.000Z,,,https://github.com/houstondatavis/russian-troll-tweets,,[],,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Frussian-troll-tweets,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Frussian-troll-tweets/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Frussian-troll-tweets/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Frussian-troll-tweets/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/houstondatavis,https://codeload.github.com/houstondatavis/russian-troll-tweets/tar.gz/refs/heads/master,,,,,,,,,,,,,
102213784,houstondatavis/muck,houstondatavis,,False,True,2017-09-01T17:53:49.000Z,991,0,0,0,5,master,2023-03-02T07:17:05.449Z,,[],,,HTML,False,,,,sketch-city/muck,,,git,True,https://github.com/houstondatavis.png,2017-09-02T17:51:26.000Z,2017-09-02T17:51:28.000Z,,,https://github.com/houstondatavis/muck,,[],,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fmuck,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fmuck/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fmuck/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fmuck/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/houstondatavis,https://codeload.github.com/houstondatavis/muck/tar.gz/refs/heads/master,,,,,,,,,,,,,
64237843,houstondatavis/houstondatavis-july2016,houstondatavis,Demo scripts from my talk on graph-based machine learning.,False,True,2016-07-12T18:27:21.000Z,6,0,0,0,3,master,2023-03-02T07:17:04.284Z,,[],,,Python,False,,,,perimosocordiae/houstondatavis-july2016,mit,,git,True,https://github.com/houstondatavis.png,2016-07-26T16:40:20.000Z,2016-07-26T16:40:21.000Z,,,https://github.com/houstondatavis/houstondatavis-july2016,,[],,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fhoustondatavis-july2016,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fhoustondatavis-july2016/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fhoustondatavis-july2016/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fhoustondatavis-july2016/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/houstondatavis,https://codeload.github.com/houstondatavis/houstondatavis-july2016/tar.gz/refs/heads/master,,,,,,,,,,,,,
44337812,houstondatavis/meetup-october-2015,houstondatavis,,False,False,2015-10-15T19:38:31.000Z,15120,1,0,0,2,master,2023-03-02T07:17:03.654Z,,[],,,,True,,,,,,,git,True,https://github.com/houstondatavis.png,2015-10-15T18:39:52.000Z,2023-03-06T10:02:07.440Z,2023-03-06T10:02:04.046Z,,https://github.com/houstondatavis/meetup-october-2015,,[],,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fmeetup-october-2015,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fmeetup-october-2015/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fmeetup-october-2015/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fmeetup-october-2015/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/houstondatavis,https://codeload.github.com/houstondatavis/meetup-october-2015/tar.gz/refs/heads/master,README.md,,,,,,,,,,,,
96950083,houstondatavis/intro-to-classifiers,houstondatavis,,False,False,2017-07-12T00:58:02.000Z,1,1,0,3,4,master,2023-03-02T07:17:03.397Z,,[],,,,True,,,,,,,git,True,https://github.com/houstondatavis.png,2017-07-12T00:57:27.000Z,2017-07-12T01:03:32.000Z,2023-03-10T07:00:24.462Z,,https://github.com/houstondatavis/intro-to-classifiers,,[],,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fintro-to-classifiers,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fintro-to-classifiers/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fintro-to-classifiers/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fintro-to-classifiers/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/houstondatavis,https://codeload.github.com/houstondatavis/intro-to-classifiers/tar.gz/refs/heads/master,,,,,,,,,,,,,
105960557,houstondatavis/houstondatavis.github.io,houstondatavis,front page for houston data visualization,False,False,2017-10-06T04:30:33.000Z,23408,0,2,0,5,master,2023-03-02T07:17:02.893Z,,[],,https://houstondatavis.github.io/,HTML,True,,,,,mit,,git,True,https://github.com/houstondatavis.png,2017-10-06T02:29:29.000Z,2017-10-06T03:46:19.000Z,2023-03-10T07:00:23.710Z,,https://github.com/houstondatavis/houstondatavis.github.io,,[],,,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fhoustondatavis.github.io,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fhoustondatavis.github.io/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fhoustondatavis.github.io/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/houstondatavis%2Fhoustondatavis.github.io/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/houstondatavis,https://codeload.github.com/houstondatavis/houstondatavis.github.io/tar.gz/refs/heads/master,,,,,,,,,,,,,
