uuid,full_name,owner,description,archived,fork,pushed_at,size,stargazers_count,open_issues_count,forks_count,subscribers_count,default_branch,last_synced_at,etag,topics,latest_commit_sha,homepage,language,has_issues,has_wiki,has_pages,mirror_url,source_name,license,status,scm,pull_requests_enabled,icon_url,created_at,updated_at,dependencies_parsed_at,dependency_job_id,html_url,previous_names,tags_count,template,template_full_name,repository_url,tags_url,releases_url,manifests_url,owner_url,download_url,metadata.files.readme,metadata.files.changelog,metadata.files.contributing,metadata.files.funding,metadata.files.license,metadata.files.code_of_conduct,metadata.files.threat_model,metadata.files.audit,metadata.files.citation,metadata.files.codeowners,metadata.files.security,metadata.files.support,metadata.files.governance,metadata.files.roadmap,metadata.files.authors,commit_stats.total_commits,commit_stats.total_committers,commit_stats.mean_commits,commit_stats.dds,commit_stats.last_synced_commit,commit_stats
36753839,nasa/openmct,nasa,A web based mission control framework. ,False,False,2024-01-20T05:32:02.000Z,80940,11183,860,1255,274,master,2024-01-20T19:13:06.406Z,,[],,https://nasa.github.io/openmct/,JavaScript,True,,,,,other,,git,True,https://github.com/nasa.png,2015-06-02T18:40:28.000Z,2024-01-20T19:13:06.407Z,2024-01-18T18:31:58.289Z,,https://github.com/nasa/openmct,[],193.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fopenmct,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fopenmct/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fopenmct/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fopenmct/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/nasa,https://codeload.github.com/nasa/openmct/tar.gz/refs/heads/master,README.md,,CONTRIBUTING.md,,LICENSE.md,,,,,,SECURITY.md,,,,,6656.0,109.0,61.06422018348624,0.6574519230769231,70f5ba9ca83846485425b203964e8989cc2d68d8,
395115175,nasa/Transform-to-Open-Science,nasa,Transformation to Open Science,False,False,2024-01-19T20:57:25.000Z,128603,624,24,122,58,main,2024-01-20T17:56:42.554Z,,"['cross-agency', 'open-code', 'open-data', 'open-science', 'open-source']",,,,True,,,,,other,,git,True,https://github.com/nasa.png,2021-08-11T20:59:27.000Z,2024-01-19T23:39:19.000Z,2023-12-20T17:32:28.810Z,ac8ba6be-4531-4449-bc2d-ff4f7220d968,https://github.com/nasa/Transform-to-Open-Science,[],0.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FTransform-to-Open-Science,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FTransform-to-Open-Science/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FTransform-to-Open-Science/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FTransform-to-Open-Science/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/nasa,https://codeload.github.com/nasa/Transform-to-Open-Science/tar.gz/refs/heads/main,README.md,,CONTRIBUTING.md,,LICENSE.md,CODE_OF_CONDUCT.md,,,,,SECURITY.md,,,,,1878.0,62.0,30.29032258064516,0.6038338658146964,71039fe0f3ff7e405054f3f1b437ac13edf37e3a,
244526923,nasa/TrickHLA,nasa,TrickHLA: An IEEE 1516 High Level Architecture (HLA) Simulation Interoperability Standard Implementation for Trick Base Simulations,False,False,2024-01-19T23:23:26.000Z,19711,30,10,12,14,master,2024-01-20T17:55:36.101Z,,[],,,C++,True,,,,,other,,git,True,https://github.com/nasa.png,2020-03-03T02:53:06.000Z,2024-01-20T17:55:36.102Z,2024-01-19T17:53:37.387Z,,https://github.com/nasa/TrickHLA,[],0.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FTrickHLA,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FTrickHLA/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FTrickHLA/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FTrickHLA/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/nasa,https://codeload.github.com/nasa/TrickHLA/tar.gz/refs/heads/master,README.md,,,,LICENSE.txt,,,,,,,,,,,320.0,3.0,106.66666666666667,0.059374999999999956,23228e432eaf6ba8b721e116d193dfb169b94835,
279967934,nasa/koviz,nasa,"Koviz is a Trick simulation data plotting, visualization and analysis tool",False,False,2024-01-19T19:12:54.000Z,9359,15,3,9,6,master,2024-01-20T16:57:31.631Z,,[],,,C++,True,,,,,other,,git,True,https://github.com/nasa.png,2020-07-15T20:12:50.000Z,2024-01-20T16:57:31.631Z,2024-01-19T17:00:44.552Z,,https://github.com/nasa/koviz,[],0.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fkoviz,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fkoviz/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fkoviz/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fkoviz/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/nasa,https://codeload.github.com/nasa/koviz/tar.gz/refs/heads/master,README.md,,,,LICENSE,,,,,,,,,,,,,,,,
40671758,nasa/earthdata-search,nasa,"Earthdata Search is a web application developed by NASA EOSDIS to enable data discovery, search, comparison, visualization, and access across EOSDIS' Earth Science data holdings.",False,False,2024-01-20T00:41:11.000Z,181182,721,21,227,61,main,2024-01-20T16:49:32.085Z,,"['data-discovery', 'earthdata-search', 'eosdis', 'hacktoberfest']",,https://search.earthdata.nasa.gov,JavaScript,True,,,,,other,,git,True,https://github.com/nasa.png,2015-08-13T17:13:40.000Z,2024-01-20T16:49:32.086Z,2023-09-21T19:28:16.964Z,e5f8677e-3e32-467f-93dd-1030627a26ff,https://github.com/nasa/earthdata-search,[],193.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fearthdata-search,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fearthdata-search/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fearthdata-search/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fearthdata-search/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/nasa,https://codeload.github.com/nasa/earthdata-search/tar.gz/refs/heads/main,README.md,,CONTRIBUTING.md,,LICENSE,,,,,,,,,,,7435.0,57.0,130.43859649122808,0.7624747814391393,eb2898981be018aebf7c99a0a12828e5641f0c48,
75120133,nasa/Common-Metadata-Repository,nasa,,False,False,2024-01-19T21:45:03.000Z,56016,327,19,96,30,master,2024-01-20T15:10:31.680Z,,"['common-metadata-repository', 'eosdis']",,,Clojure,True,,,,,apache-2.0,,git,True,https://github.com/nasa.png,2016-11-29T20:41:30.000Z,2024-01-20T15:10:31.681Z,2024-01-17T13:03:19.013Z,,https://github.com/nasa/Common-Metadata-Repository,[],206.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FCommon-Metadata-Repository,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FCommon-Metadata-Repository/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FCommon-Metadata-Repository/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FCommon-Metadata-Repository/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/nasa,https://codeload.github.com/nasa/Common-Metadata-Repository/tar.gz/refs/heads/master,README.md,CHANGELOG.md,CONTRIBUTING.md,,LICENSE,,,,,,,,,,,14196.0,86.0,165.06976744186048,0.8251620174697097,8c79885f72715add05d3d4fa79ebbf8a1918df3d,
429549618,nasa/isaac,nasa,Integrated System for Autonomous and Adaptive Caretaking,False,False,2024-01-20T10:01:51.000Z,51088,38,8,20,13,master,2024-01-20T10:44:43.916Z,,[],,,C++,True,,,,,apache-2.0,,git,True,https://github.com/nasa.png,2021-11-18T19:11:38.000Z,2024-01-04T11:41:56.000Z,2024-01-20T10:51:35.048Z,,https://github.com/nasa/isaac,[],5.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fisaac,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fisaac/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fisaac/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fisaac/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/nasa,https://codeload.github.com/nasa/isaac/tar.gz/refs/heads/master,README.md,,CONTRIBUTING.md,,LICENSE,,,,,,,,,,,,,,,,
207384859,nasa/cmr-stac,nasa,,False,False,2024-01-16T18:55:45.000Z,8061,42,34,21,20,master,2024-01-20T07:43:01.536Z,,[],,,TypeScript,True,,,,,other,,git,True,https://github.com/nasa.png,2019-09-09T19:09:03.000Z,2023-08-16T17:55:29.000Z,2023-09-21T19:30:29.827Z,c774ca20-cb85-4401-8618-d5282d12b45b,https://github.com/nasa/cmr-stac,[],3.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fcmr-stac,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fcmr-stac/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fcmr-stac/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2Fcmr-stac/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/nasa,https://codeload.github.com/nasa/cmr-stac/tar.gz/refs/heads/master,README.md,,,,LICENSE.txt,,,,,,,,,,,519.0,25.0,20.76,0.697495183044316,1452f65052ed66959d93d1876a1165e0f2ac0dd8,
583690121,nasa/EMIT-Data-Resources,nasa,"This repository provides guides, short how-tos, and tutorials to help users access and work with data from the Earth Surface Mineral Dust Source Investigation (EMIT) mission.",False,False,2024-01-12T14:47:58.000Z,102107,65,5,41,11,main,2024-01-20T07:13:47.767Z,,"['emit', 'lpdaac']",,,HTML,True,,,,,apache-2.0,,git,True,https://github.com/nasa.png,2022-12-30T15:30:07.000Z,2024-01-15T11:37:14.000Z,2024-01-15T05:20:31.309Z,,https://github.com/nasa/EMIT-Data-Resources,[],0.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FEMIT-Data-Resources,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FEMIT-Data-Resources/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FEMIT-Data-Resources/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FEMIT-Data-Resources/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/nasa,https://codeload.github.com/nasa/EMIT-Data-Resources/tar.gz/refs/heads/main,README.md,CHANGE_LOG.md,CONTRIBUTING.md,,LICENSE,CODE_OF_CONDUCT.md,,,,,,,,,,160.0,8.0,20.0,0.19374999999999998,f5b4dd78a5bad3d7eb89887fcb76f051f121b2b9,
175077854,nasa/NASAaccess,nasa,"NASAaccess is R package that can generate gridded ascii tables of climate (CIMP5) and weather data (GPM, TRMM, GLDAS) needed to drive various hydrological models (e.g., SWAT, VIC, RHESSys, ..etc)",False,False,2024-01-14T16:25:48.000Z,10525,73,0,23,9,master,2024-01-20T06:45:25.734Z,,[],,,R,True,,,,,other,,git,True,https://github.com/nasa.png,2019-03-11T20:21:28.000Z,2023-11-07T13:14:33.000Z,2024-01-16T05:07:06.842Z,17c0fe7e-938c-46d8-b558-e34904393b06,https://github.com/nasa/NASAaccess,[],13.0,False,,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FNASAaccess,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FNASAaccess/tags,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FNASAaccess/releases,https://repos.ecosyste.ms/api/v1/hosts/GitHub/repositories/nasa%2FNASAaccess/manifests,https://repos.ecosyste.ms/api/v1/hosts/GitHub/owners/nasa,https://codeload.github.com/nasa/NASAaccess/tar.gz/refs/heads/master,README.Rmd,,,,LICENSE,,,,,,,,,,,66.0,1.0,66.0,0.0,946dc00ebad1495ef42d9b5442248c2c3ab013ba,
